text,label,cleansing,casefolding,tokenizing,stopword
"kenapa ya gw gapernah dapet diskon gofood, grabfood, shopeefood yg best deal?? diskonnya lumayan tapi pas udah ditotal tetep aja berkurang berapa doang wkwk",negatif,kenapa ya gw gapernah dapet diskon gofood grabfood yg best deal diskonnya lumayan tapi pas udah ditotal tetep aja berkurang berapa doang wkwk,kenapa ya gw gapernah dapet diskon gofood grabfood yg best deal diskonnya lumayan tapi pas udah ditotal tetep aja berkurang berapa doang wkwk,"['kenapa', 'ya', 'gw', 'gapernah', 'dapet', 'diskon', 'gofood', 'grabfood', 'yg', 'best', 'deal', 'diskonnya', 'lumayan', 'tapi', 'pas', 'udah', 'ditotal', 'tetep', 'aja', 'berkurang', 'berapa', 'doang', 'wkwk']",ya gw gapernah dapet diskon gofood grabfood yg best deal diskonnya lumayan pas udah ditotal tetep aja berkurang doang wkwk
"@HadiWinarto_ @jang_iyann @txtdarionlshop Setuju sama dosennya. UI shopee kacau bgt, tokped jauh lebih rapi. Kalo ga ada shopee food juga udh gue uninstall itu shopee wkwkwk.",netral,setuju sama dosennya ui kacau bgt tokped jauh lebih rapi kalo ga ada juga udh gue uninstall itu wkwkwk,setuju sama dosennya ui kacau bgt tokped jauh lebih rapi kalo ga ada juga udh gue uninstall itu wkwkwk,"['setuju', 'sama', 'dosennya', 'ui', 'kacau', 'bgt', 'tokped', 'jauh', 'lebih', 'rapi', 'kalo', 'ga', 'ada', 'juga', 'udh', 'gue', 'uninstall', 'itu', 'wkwkwk']",setuju dosennya ui kacau bgt tokped rapi kalo ga udh gue uninstall wkwkwk
"Aku beli ayamas seekor. Tapi nasi tak ada, buka shopee food beli nasi putih 2 tambah telur dadar 1 sebab nak avoid small order fees. Eh tetiba sampai 2 telur dadar dengan kertas šsaya sedekahš. Kah kah orang kedai ingat aku orang susah ke __",positif,aku beli ayamas seekor tapi nasi tak ada buka beli nasi putih tambah telur dadar sebab nak avoid small order fees eh tetiba sampai telur dadar dengan kertas saya sedekah kah kah orang kedai ingat aku orang susah ke,aku beli ayamas seekor tapi nasi tak ada buka beli nasi putih tambah telur dadar sebab nak avoid small order fees eh tetiba sampai telur dadar dengan kertas saya sedekah kah kah orang kedai ingat aku orang susah ke,"['aku', 'beli', 'ayamas', 'seekor', 'tapi', 'nasi', 'tak', 'ada', 'buka', 'beli', 'nasi', 'putih', 'tambah', 'telur', 'dadar', 'sebab', 'nak', 'avoid', 'small', 'order', 'fees', 'eh', 'tetiba', 'sampai', 'telur', 'dadar', 'dengan', 'kertas', 'saya', 'sedekah', 'kah', 'kah', 'orang', 'kedai', 'ingat', 'aku', 'orang', 'susah', 'ke']",beli ayamas seekor nasi buka beli nasi putih telur dadar nak avoid small order fees eh tetiba telur dadar kertas sedekah kah kah orang kedai orang susah
"Halo @KFCINDONESIA saya mau komplain perihal pesanan saya, td saya pesan krushers melalui shopeefood dan waktu datang krushers saya tidak fresh alias seperti sudah lama di dalam kulkas. Karena tidak ada tekstur es batu lagi, apakah skg kualitas krushers seperti itu?",negatif,halo saya mau komplain perihal pesanan saya td saya pesan krushers melalui dan waktu datang krushers saya tidak fresh alias seperti sudah lama di dalam kulkas karena tidak ada tekstur es batu lagi apakah skg kualitas krushers seperti itu,halo saya mau komplain perihal pesanan saya td saya pesan krushers melalui dan waktu datang krushers saya tidak fresh alias seperti sudah lama di dalam kulkas karena tidak ada tekstur es batu lagi apakah skg kualitas krushers seperti itu,"['halo', 'saya', 'mau', 'komplain', 'perihal', 'pesanan', 'saya', 'td', 'saya', 'pesan', 'krushers', 'melalui', 'dan', 'waktu', 'datang', 'krushers', 'saya', 'tidak', 'fresh', 'alias', 'seperti', 'sudah', 'lama', 'di', 'dalam', 'kulkas', 'karena', 'tidak', 'ada', 'tekstur', 'es', 'batu', 'lagi', 'apakah', 'skg', 'kualitas', 'krushers', 'seperti', 'itu']",halo komplain perihal pesanan td pesan krushers krushers fresh alias kulkas tekstur es batu skg kualitas krushers
"@irdinaasofiaa Boleh je. Konsep dia mcm kita buat dua tiga kerja jela. Ramai je rider yg smua delivery ada id. Gf, fp, shopeefood &amp; mcm2",netral,boleh je konsep dia mcm kita buat dua tiga kerja jela ramai je rider yg smua delivery ada id gf fp amp mcm,boleh je konsep dia mcm kita buat dua tiga kerja jela ramai je rider yg smua delivery ada id gf fp amp mcm,"['boleh', 'je', 'konsep', 'dia', 'mcm', 'kita', 'buat', 'dua', 'tiga', 'kerja', 'jela', 'ramai', 'je', 'rider', 'yg', 'smua', 'delivery', 'ada', 'id', 'gf', 'fp', 'amp', 'mcm']",je konsep mcm kerja jela ramai je rider yg smua delivery id gf fp amp mcm
"@AswantGardapati @Valhallaah @Maleo_Berekor @Jelantik5 @Ajiek_Dewa78 @wayansusila80 @Pekaklonto76 @DiposuroP @ProfOnline_id @duniamaya_29 @cucu_mbahDharma Dulu gak ada HP, jiwanya bersih. Makan sesuai kebutuhan, belum ada makanan cepat saji dan GoFood, Shopee food. __. Emakku dulu langsung, terbawa jaman jdi sejahtera __#kabooremakkubawasendal",positif,dulu gak ada hp jiwanya bersih makan sesuai kebutuhan belum ada makanan cepat saji dan gofood emakku dulu langsung terbawa jaman jdi sejahtera,dulu gak ada hp jiwanya bersih makan sesuai kebutuhan belum ada makanan cepat saji dan gofood emakku dulu langsung terbawa jaman jdi sejahtera,"['dulu', 'gak', 'ada', 'hp', 'jiwanya', 'bersih', 'makan', 'sesuai', 'kebutuhan', 'belum', 'ada', 'makanan', 'cepat', 'saji', 'dan', 'gofood', 'emakku', 'dulu', 'langsung', 'terbawa', 'jaman', 'jdi', 'sejahtera']",gak hp jiwanya bersih makan sesuai kebutuhan makanan cepat saji gofood emakku langsung terbawa jaman jdi sejahtera
@jayminjho_prjct kak bisa lewat gojek/grab/shopeefood gak ya?,netral,kak bisa lewat gojekgrabshopeefood gak ya,kak bisa lewat gojekgrabshopeefood gak ya,"['kak', 'bisa', 'lewat', 'gojekgrabshopeefood', 'gak', 'ya']",kak gojekgrabshopeefood gak ya
"@raiinliving Baru bangun tidur, blm baru mesen shopeefood nih",netral,baru bangun tidur blm baru mesen nih,baru bangun tidur blm baru mesen nih,"['baru', 'bangun', 'tidur', 'blm', 'baru', 'mesen', 'nih']",bangun tidur blm mesen nih
"@kanaminamii @dikanchut Ada di Canggu yg lumayan enak di rumah makan: šHappy Rendang Bališ, atau di Kerobokan ada di šWarung Papa Sanzšš 
Ataupun pilihan lain bisa cari di app gofood/grabfood/shopeefood, search: šRendang Babišš Hope it helpsš ;)",positif,ada di canggu yg lumayan enak di rumah makan happy rendang bali atau di kerobokan ada di warung papa sanz ataupun pilihan lain bisa cari di app gofoodgrabfoodshopeefood search rendang babi hope it helps,ada di canggu yg lumayan enak di rumah makan happy rendang bali atau di kerobokan ada di warung papa sanz ataupun pilihan lain bisa cari di app gofoodgrabfoodshopeefood search rendang babi hope it helps,"['ada', 'di', 'canggu', 'yg', 'lumayan', 'enak', 'di', 'rumah', 'makan', 'happy', 'rendang', 'bali', 'atau', 'di', 'kerobokan', 'ada', 'di', 'warung', 'papa', 'sanz', 'ataupun', 'pilihan', 'lain', 'bisa', 'cari', 'di', 'app', 'gofoodgrabfoodshopeefood', 'search', 'rendang', 'babi', 'hope', 'it', 'helps']",canggu yg lumayan enak rumah makan happy rendang bali kerobokan warung papa sanz pilihan cari app gofoodgrabfoodshopeefood search rendang babi hope it helps
@Prastini22 Kakak dapat mengetahui seputar kode etik Mitra Pengemudi ShopeeFood dengan membuka tautan di bawah ini: (3/5),netral,kakak dapat mengetahui seputar kode etik mitra pengemudi dengan membuka tautan di bawah ini,kakak dapat mengetahui seputar kode etik mitra pengemudi dengan membuka tautan di bawah ini,"['kakak', 'dapat', 'mengetahui', 'seputar', 'kode', 'etik', 'mitra', 'pengemudi', 'dengan', 'membuka', 'tautan', 'di', 'bawah', 'ini']",kakak seputar kode etik mitra pengemudi membuka tautan
Pengen ngegrab/shopee food aja sekalian jalan jalan____,positif,pengen ngegrabshopee aja sekalian jalan jalan,pengen ngegrabshopee aja sekalian jalan jalan,"['pengen', 'ngegrabshopee', 'aja', 'sekalian', 'jalan', 'jalan']",pengen ngegrabshopee aja jalan jalan
Anjg shopeefood ku error mulu_______,negatif,anjg ku error mulu,anjg ku error mulu,"['anjg', 'ku', 'error', 'mulu']",anjg ku error mulu
Apa masalah shopee food ni. Dari lunch semalam order lain dapat lain. Breakfast pagi tadi missing item. Lunch tadi nasi dengan telur tak dapat. @ShopeeMY ____.,negatif,apa masalah ni dari lunch semalam order lain dapat lain breakfast pagi tadi missing item lunch tadi nasi dengan telur tak dapat,apa masalah ni dari lunch semalam order lain dapat lain breakfast pagi tadi missing item lunch tadi nasi dengan telur tak dapat,"['apa', 'masalah', 'ni', 'dari', 'lunch', 'semalam', 'order', 'lain', 'dapat', 'lain', 'breakfast', 'pagi', 'tadi', 'missing', 'item', 'lunch', 'tadi', 'nasi', 'dengan', 'telur', 'tak', 'dapat']",ni lunch semalam order breakfast pagi missing item lunch nasi telur
@undipmenfess Enak banget ini tp mahal skrg.. dulu yg geprek pak goo komplit cuma 30rb an (diskon shopeefood gasampe 20rb jdinya) skrg tiba2 udh 50rb aja,negatif,enak banget ini tp mahal skrg dulu yg geprek pak goo komplit cuma rb an diskon gasampe rb jdinya skrg tiba udh rb aja,enak banget ini tp mahal skrg dulu yg geprek pak goo komplit cuma rb an diskon gasampe rb jdinya skrg tiba udh rb aja,"['enak', 'banget', 'ini', 'tp', 'mahal', 'skrg', 'dulu', 'yg', 'geprek', 'pak', 'goo', 'komplit', 'cuma', 'rb', 'an', 'diskon', 'gasampe', 'rb', 'jdinya', 'skrg', 'tiba', 'udh', 'rb', 'aja']",enak banget tp mahal skrg yg geprek goo komplit rb an diskon gasampe rb jdinya skrg udh rb aja
Buat kerja pastu tak sedar dah pukul 3 pastu hujan pastu lapar pastu kesian kalau nak order shopee food tapi lapar tapi order juga tapi kilat __,netral,buat kerja pastu tak sedar dah pukul pastu hujan pastu lapar pastu kesian kalau nak order tapi lapar tapi order juga tapi kilat,buat kerja pastu tak sedar dah pukul pastu hujan pastu lapar pastu kesian kalau nak order tapi lapar tapi order juga tapi kilat,"['buat', 'kerja', 'pastu', 'tak', 'sedar', 'dah', 'pukul', 'pastu', 'hujan', 'pastu', 'lapar', 'pastu', 'kesian', 'kalau', 'nak', 'order', 'tapi', 'lapar', 'tapi', 'order', 'juga', 'tapi', 'kilat']",kerja pastu sedar dah pastu hujan pastu lapar pastu kesian nak order lapar order kilat
ajarin beli makanan lewat shopeefood dong,netral,ajarin beli makanan lewat dong,ajarin beli makanan lewat dong,"['ajarin', 'beli', 'makanan', 'lewat', 'dong']",ajarin beli makanan
INI NAIK MAXIM GUYS TAPI HELMNYA SHOPEEFOOD __,negatif,ini naik maxim guys tapi helmnya,ini naik maxim guys tapi helmnya,"['ini', 'naik', 'maxim', 'guys', 'tapi', 'helmnya']",maxim guys helmnya
"family mart gombak ni kan rasanya cam dah perati lama dah, memang normal ke time macam ni dia close untuk amek order dekat semua apps foodpanda grab dan shopee food.",netral,family mart gombak ni kan rasanya cam dah perati lama dah memang normal ke time macam ni dia close untuk amek order dekat semua apps foodpanda grab dan,family mart gombak ni kan rasanya cam dah perati lama dah memang normal ke time macam ni dia close untuk amek order dekat semua apps foodpanda grab dan,"['family', 'mart', 'gombak', 'ni', 'kan', 'rasanya', 'cam', 'dah', 'perati', 'lama', 'dah', 'memang', 'normal', 'ke', 'time', 'macam', 'ni', 'dia', 'close', 'untuk', 'amek', 'order', 'dekat', 'semua', 'apps', 'foodpanda', 'grab', 'dan']",family mart gombak ni cam dah perati dah normal time ni close amek order apps foodpanda grab
@chrisbangaussie aku naik maxim tapi helmnya shopeefood __,negatif,aku naik maxim tapi helmnya,aku naik maxim tapi helmnya,"['aku', 'naik', 'maxim', 'tapi', 'helmnya']",maxim helmnya
@chickenxatsu Kirain gak godood tapi shopeefood awkwkwk,netral,kirain gak godood tapi awkwkwk,kirain gak godood tapi awkwkwk,"['kirain', 'gak', 'godood', 'tapi', 'awkwkwk']",kirain gak godood awkwkwk
"@svnchxnbuzter mau beli tapi mendung, jd males jalan hshshs paling ntar shopeefood ajaaa",positif,mau beli tapi mendung jd males jalan hshshs paling ntar ajaaa,mau beli tapi mendung jd males jalan hshshs paling ntar ajaaa,"['mau', 'beli', 'tapi', 'mendung', 'jd', 'males', 'jalan', 'hshshs', 'paling', 'ntar', 'ajaaa']",beli mendung jd males jalan hshshs ntar ajaaa
Mas mas shopee food seru seru hahah,positif,mas mas seru seru hahah,mas mas seru seru hahah,"['mas', 'mas', 'seru', 'seru', 'hahah']",mas mas seru seru hahah
@itadumps ita mau pesen shopeefood gaa,positif,ita mau pesen gaa,ita mau pesen gaa,"['ita', 'mau', 'pesen', 'gaa']",ita pesen gaa
Shopee food kenapa skrg mahal sekali yaaa__ lg kere dan males keluar jd gabisa mengandalkan shopeefood,negatif,kenapa skrg mahal sekali yaaa lg kere dan males keluar jd gabisa mengandalkan,kenapa skrg mahal sekali yaaa lg kere dan males keluar jd gabisa mengandalkan,"['kenapa', 'skrg', 'mahal', 'sekali', 'yaaa', 'lg', 'kere', 'dan', 'males', 'keluar', 'jd', 'gabisa', 'mengandalkan']",skrg mahal yaaa lg kere males jd gabisa mengandalkan
"Dapet beasiswa kuliah tapi  pengen nyambi kerja jadi kurir gofood/shopeefood. Karena kan kadang tetep pengen bisa ngasih ortu. Klo kurir makanan gitu ada maksimal target ga ya? Soalnya bukan apa2, kan klo kurir gitu kek enak aja mau kpn kerjanya. Pernah kepikiran kek gini gasi?",netral,dapet beasiswa kuliah tapi pengen nyambi kerja jadi kurir gofoodshopeefood karena kan kadang tetep pengen bisa ngasih ortu klo kurir makanan gitu ada maksimal target ga ya soalnya bukan apa kan klo kurir gitu kek enak aja mau kpn kerjanya pernah kepikiran kek gini gasi,dapet beasiswa kuliah tapi pengen nyambi kerja jadi kurir gofoodshopeefood karena kan kadang tetep pengen bisa ngasih ortu klo kurir makanan gitu ada maksimal target ga ya soalnya bukan apa kan klo kurir gitu kek enak aja mau kpn kerjanya pernah kepikiran kek gini gasi,"['dapet', 'beasiswa', 'kuliah', 'tapi', 'pengen', 'nyambi', 'kerja', 'jadi', 'kurir', 'gofoodshopeefood', 'karena', 'kan', 'kadang', 'tetep', 'pengen', 'bisa', 'ngasih', 'ortu', 'klo', 'kurir', 'makanan', 'gitu', 'ada', 'maksimal', 'target', 'ga', 'ya', 'soalnya', 'bukan', 'apa', 'kan', 'klo', 'kurir', 'gitu', 'kek', 'enak', 'aja', 'mau', 'kpn', 'kerjanya', 'pernah', 'kepikiran', 'kek', 'gini', 'gasi']",dapet beasiswa kuliah pengen nyambi kerja kurir gofoodshopeefood kadang tetep pengen ngasih ortu klo kurir makanan gitu maksimal target ga ya klo kurir gitu kek enak aja kpn kerjanya kepikiran kek gini gasi
"Orang jemput pi kenduri tak boleh datang sebab tak sihat. Tapi teringin nak makan daging masak hitam walaupun dr suruh kurangkan daging semalam. __ Maka, order lah shopeefood.",netral,orang jemput pi kenduri tak boleh datang sebab tak sihat tapi teringin nak makan daging masak hitam walaupun dr suruh kurangkan daging semalam maka order lah,orang jemput pi kenduri tak boleh datang sebab tak sihat tapi teringin nak makan daging masak hitam walaupun dr suruh kurangkan daging semalam maka order lah,"['orang', 'jemput', 'pi', 'kenduri', 'tak', 'boleh', 'datang', 'sebab', 'tak', 'sihat', 'tapi', 'teringin', 'nak', 'makan', 'daging', 'masak', 'hitam', 'walaupun', 'dr', 'suruh', 'kurangkan', 'daging', 'semalam', 'maka', 'order', 'lah']",orang jemput pi kenduri sihat teringin nak makan daging masak hitam dr suruh kurangkan daging semalam order
"@kwon_ad Samaa, mau beli di gojek atau shopeefood terlalu mahal ongkirnya",negatif,samaa mau beli di gojek atau terlalu mahal ongkirnya,samaa mau beli di gojek atau terlalu mahal ongkirnya,"['samaa', 'mau', 'beli', 'di', 'gojek', 'atau', 'terlalu', 'mahal', 'ongkirnya']",samaa beli gojek mahal ongkirnya
"@astsalisa Aku nawari loh__ tak tawari shopeefood opo ngono. Ooo dasar, malah arep dipisuhi ___",negatif,aku nawari loh tak tawari opo ngono ooo dasar malah arep dipisuhi,aku nawari loh tak tawari opo ngono ooo dasar malah arep dipisuhi,"['aku', 'nawari', 'loh', 'tak', 'tawari', 'opo', 'ngono', 'ooo', 'dasar', 'malah', 'arep', 'dipisuhi']",nawari loh tawari opo ngono ooo dasar arep dipisuhi
@mymagina Makan nya bnyk driver shopeefood yang pada ngeluh orderan sepi trmasuk w sendiri wkwk. mungkin ini salah satu alesan nya__,negatif,makan nya bnyk driver yang pada ngeluh orderan sepi trmasuk w sendiri wkwk mungkin ini salah satu alesan nya,makan nya bnyk driver yang pada ngeluh orderan sepi trmasuk w sendiri wkwk mungkin ini salah satu alesan nya,"['makan', 'nya', 'bnyk', 'driver', 'yang', 'pada', 'ngeluh', 'orderan', 'sepi', 'trmasuk', 'w', 'sendiri', 'wkwk', 'mungkin', 'ini', 'salah', 'satu', 'alesan', 'nya']",makan nya bnyk driver ngeluh orderan sepi trmasuk w wkwk salah alesan nya
"@ZEUSSLOVE Belummm, ini lg Ng shopeefood",netral,belummm ini lg ng,belummm ini lg ng,"['belummm', 'ini', 'lg', 'ng']",belummm lg ng
@ShopeeID @shopeefood_id shopee terlalu menekan para mitra drivernya dengan aturan-aturan yg kadang tidak masuk akal.sehingga mitra driver tidak bisa berbuat untuk membela diri dan haknya. Mohon shopee untuk evaluasi semua aturan yg kadang sangat memberatkan driver di lapangan,negatif,terlalu menekan para mitra drivernya dengan aturanaturan yg kadang tidak masuk akalsehingga mitra driver tidak bisa berbuat untuk membela diri dan haknya mohon untuk evaluasi semua aturan yg kadang sangat memberatkan driver di lapangan,terlalu menekan para mitra drivernya dengan aturanaturan yg kadang tidak masuk akalsehingga mitra driver tidak bisa berbuat untuk membela diri dan haknya mohon untuk evaluasi semua aturan yg kadang sangat memberatkan driver di lapangan,"['terlalu', 'menekan', 'para', 'mitra', 'drivernya', 'dengan', 'aturanaturan', 'yg', 'kadang', 'tidak', 'masuk', 'akalsehingga', 'mitra', 'driver', 'tidak', 'bisa', 'berbuat', 'untuk', 'membela', 'diri', 'dan', 'haknya', 'mohon', 'untuk', 'evaluasi', 'semua', 'aturan', 'yg', 'kadang', 'sangat', 'memberatkan', 'driver', 'di', 'lapangan']",menekan mitra drivernya aturanaturan yg kadang masuk akalsehingga mitra driver berbuat membela haknya mohon evaluasi aturan yg kadang memberatkan driver lapangan
"Kenapa partner shopee food gak bersahabat deh. Kalo ya gak jual atau gak ada kenapa masih dipasang dietalase seh, sampek 2x dibatalin. Yah gimana gw ngotot si pengen mam disitu",negatif,kenapa partner gak bersahabat deh kalo ya gak jual atau gak ada kenapa masih dipasang dietalase seh sampek x dibatalin yah gimana gw ngotot si pengen mam disitu,kenapa partner gak bersahabat deh kalo ya gak jual atau gak ada kenapa masih dipasang dietalase seh sampek x dibatalin yah gimana gw ngotot si pengen mam disitu,"['kenapa', 'partner', 'gak', 'bersahabat', 'deh', 'kalo', 'ya', 'gak', 'jual', 'atau', 'gak', 'ada', 'kenapa', 'masih', 'dipasang', 'dietalase', 'seh', 'sampek', 'x', 'dibatalin', 'yah', 'gimana', 'gw', 'ngotot', 'si', 'pengen', 'mam', 'disitu']",partner gak bersahabat deh kalo ya gak jual gak dipasang dietalase seh sampek x dibatalin yah gimana gw ngotot si pengen mam disitu
"Bingung bgt mau makan, udah sejam buka grab,gojek sama shopee food tapi gak order2 __",negatif,bingung bgt mau makan udah sejam buka grabgojek sama tapi gak order,bingung bgt mau makan udah sejam buka grabgojek sama tapi gak order,"['bingung', 'bgt', 'mau', 'makan', 'udah', 'sejam', 'buka', 'grabgojek', 'sama', 'tapi', 'gak', 'order']",bingung bgt makan udah sejam buka grabgojek gak order
"@dekyulii hi ka, maaf atas kendalanya. trkait kndala pmbelian ShopeeFood, namun reto tutup. stlh mimin cek, status psanan tlh trselesaikn shg(1)",negatif,hi ka maaf atas kendalanya trkait kndala pmbelian namun reto tutup stlh mimin cek status psanan tlh trselesaikn shg,hi ka maaf atas kendalanya trkait kndala pmbelian namun reto tutup stlh mimin cek status psanan tlh trselesaikn shg,"['hi', 'ka', 'maaf', 'atas', 'kendalanya', 'trkait', 'kndala', 'pmbelian', 'namun', 'reto', 'tutup', 'stlh', 'mimin', 'cek', 'status', 'psanan', 'tlh', 'trselesaikn', 'shg']",hi ka maaf kendalanya trkait kndala pmbelian reto tutup stlh mimin cek status psanan tlh trselesaikn shg
"Ini kadang profil driver Shopee Food gak sesuai ya. Di profil ibu-ibu, yang datang mas-mas.",negatif,ini kadang profil driver gak sesuai ya di profil ibuibu yang datang masmas,ini kadang profil driver gak sesuai ya di profil ibuibu yang datang masmas,"['ini', 'kadang', 'profil', 'driver', 'gak', 'sesuai', 'ya', 'di', 'profil', 'ibuibu', 'yang', 'datang', 'masmas']",kadang profil driver gak sesuai ya profil ibuibu masmas
"Top 3 orang yang sering menghubungiku :

1. Bapak shopeefood
2. Ibu
3. Bapak kurir shoppee",netral,top orang yang sering menghubungiku bapak ibu bapak kurir shoppee,top orang yang sering menghubungiku bapak ibu bapak kurir shoppee,"['top', 'orang', 'yang', 'sering', 'menghubungiku', 'bapak', 'ibu', 'bapak', 'kurir', 'shoppee']",top orang menghubungiku kurir shoppee
@sedangtercakiti @sbyfess Ojokkk__ aku tak dari driver shopeefood ae wes cukupp,netral,ojokkk aku tak dari driver ae wes cukupp,ojokkk aku tak dari driver ae wes cukupp,"['ojokkk', 'aku', 'tak', 'dari', 'driver', 'ae', 'wes', 'cukupp']",ojokkk driver ae wes cukupp
"Bundling-nya ada beragam varian rasa, bisa pilih dijamin enak semua! Let's order the happiness bundling yang ada  aplikasi Gojek dan ShopeeFood __",positif,bundlingnya ada beragam varian rasa bisa pilih dijamin enak semua lets order the happiness bundling yang ada aplikasi gojek dan,bundlingnya ada beragam varian rasa bisa pilih dijamin enak semua lets order the happiness bundling yang ada aplikasi gojek dan,"['bundlingnya', 'ada', 'beragam', 'varian', 'rasa', 'bisa', 'pilih', 'dijamin', 'enak', 'semua', 'lets', 'order', 'the', 'happiness', 'bundling', 'yang', 'ada', 'aplikasi', 'gojek', 'dan']",bundlingnya beragam varian pilih dijamin enak lets order the happiness bundling aplikasi gojek
"@yawnzzunns coba cari di shopeefood atau grabfood kaa, di gofood ga ada soalnya__",netral,coba cari di atau grabfood kaa di gofood ga ada soalnya,coba cari di atau grabfood kaa di gofood ga ada soalnya,"['coba', 'cari', 'di', 'atau', 'grabfood', 'kaa', 'di', 'gofood', 'ga', 'ada', 'soalnya']",coba cari grabfood kaa gofood ga
"@WeniRL Kurang tau ya kak... pas itu aku lg di kosan kakak di jakbar, terus beli ayam geprek deket situ lwt shopeefood",netral,kurang tau ya kak pas itu aku lg di kosan kakak di jakbar terus beli ayam geprek deket situ lwt,kurang tau ya kak pas itu aku lg di kosan kakak di jakbar terus beli ayam geprek deket situ lwt,"['kurang', 'tau', 'ya', 'kak', 'pas', 'itu', 'aku', 'lg', 'di', 'kosan', 'kakak', 'di', 'jakbar', 'terus', 'beli', 'ayam', 'geprek', 'deket', 'situ', 'lwt']",tau ya kak pas lg kosan kakak jakbar beli ayam geprek deket situ lwt
@kapulagaaa Itu ada di shopeefood ?,netral,itu ada di,itu ada di,"['itu', 'ada', 'di']",
"Laperrr bingittttttt akhirnya milih shopeefood, milihnya setengah jam nunggu nya setebgah jam :)
Tau gitu tadi goreng naaget 5 menit jadi :)",negatif,laperrr bingittttttt akhirnya milih milihnya setengah jam nunggu nya setebgah jam tau gitu tadi goreng naaget menit jadi,laperrr bingittttttt akhirnya milih milihnya setengah jam nunggu nya setebgah jam tau gitu tadi goreng naaget menit jadi,"['laperrr', 'bingittttttt', 'akhirnya', 'milih', 'milihnya', 'setengah', 'jam', 'nunggu', 'nya', 'setebgah', 'jam', 'tau', 'gitu', 'tadi', 'goreng', 'naaget', 'menit', 'jadi']",laperrr bingittttttt milih milihnya jam nunggu nya setebgah jam tau gitu goreng naaget menit
"gue lagi nunggu duir refund lama banget anjir, dari kemaren ngga di tf. mau shopee food gada duir, mana gue belom refund goceng ke buyer lagi:(",negatif,gue lagi nunggu duir refund lama banget anjir dari kemaren ngga di tf mau gada duir mana gue belom refund goceng ke buyer lagi,gue lagi nunggu duir refund lama banget anjir dari kemaren ngga di tf mau gada duir mana gue belom refund goceng ke buyer lagi,"['gue', 'lagi', 'nunggu', 'duir', 'refund', 'lama', 'banget', 'anjir', 'dari', 'kemaren', 'ngga', 'di', 'tf', 'mau', 'gada', 'duir', 'mana', 'gue', 'belom', 'refund', 'goceng', 'ke', 'buyer', 'lagi']",gue nunggu duir refund banget anjir kemaren ngga tf gada duir gue belom refund goceng buyer
"Scroll2 grabfood, gofood, shopeefood, ujung ujungnya nyeduh popmie ____",negatif,scroll grabfood gofood ujung ujungnya nyeduh popmie,scroll grabfood gofood ujung ujungnya nyeduh popmie,"['scroll', 'grabfood', 'gofood', 'ujung', 'ujungnya', 'nyeduh', 'popmie']",scroll grabfood gofood ujung ujungnya nyeduh popmie
@izarziizar Itu ada di shopeefood gak?,netral,itu ada di gak,itu ada di gak,"['itu', 'ada', 'di', 'gak']",gak
"Shopeefood tuh kenapa jelek bgt dah. Udh berapa kali kena masalah terus orderan gue. Entah drivernya yg jauh banget lokasinya tapi masuk ke dia, terus titik map salah padahal gue inputnya bener dan nama alamatnya juga bener, ini ada driver tapi drivernya ngk pake app shopee",negatif,tuh kenapa jelek bgt dah udh berapa kali kena masalah terus orderan gue entah drivernya yg jauh banget lokasinya tapi masuk ke dia terus titik map salah padahal gue inputnya bener dan nama alamatnya juga bener ini ada driver tapi drivernya ngk pake app,tuh kenapa jelek bgt dah udh berapa kali kena masalah terus orderan gue entah drivernya yg jauh banget lokasinya tapi masuk ke dia terus titik map salah padahal gue inputnya bener dan nama alamatnya juga bener ini ada driver tapi drivernya ngk pake app,"['tuh', 'kenapa', 'jelek', 'bgt', 'dah', 'udh', 'berapa', 'kali', 'kena', 'masalah', 'terus', 'orderan', 'gue', 'entah', 'drivernya', 'yg', 'jauh', 'banget', 'lokasinya', 'tapi', 'masuk', 'ke', 'dia', 'terus', 'titik', 'map', 'salah', 'padahal', 'gue', 'inputnya', 'bener', 'dan', 'nama', 'alamatnya', 'juga', 'bener', 'ini', 'ada', 'driver', 'tapi', 'drivernya', 'ngk', 'pake', 'app']",tuh jelek bgt dah udh kali kena orderan gue drivernya yg banget lokasinya masuk titik map salah gue inputnya bener nama alamatnya bener driver drivernya ngk pake app
